DateTime|Volume
11/10/2024 23:00:00|3931.1156944865384
11/11/2024 00:00:00|4925.871263729696
11/11/2024 01:00:00|4517.145588407711
11/11/2024 02:00:00|3983.6684342577214
11/11/2024 03:00:00|3927.967656525052
11/11/2024 04:00:00|3041.433244721834
11/11/2024 05:00:00|4622.829226069219
11/11/2024 06:00:00|3710.263652649295
11/11/2024 07:00:00|3813.468519648031
11/11/2024 08:00:00|5020.946328427293
11/11/2024 09:00:00|3824.859748057174
11/11/2024 10:00:00|4423.285361545622
11/11/2024 11:00:00|3682.140501395392
11/11/2024 12:00:00|2790.424811771804
11/11/2024 13:00:00|3890.6838043907915
11/11/2024 14:00:00|4627.7812147138175
11/11/2024 15:00:00|4404.326074011596
11/11/2024 16:00:00|5518.35561950397
11/11/2024 17:00:00|3355.512719221816
11/11/2024 18:00:00|3983.2895256087354
11/11/2024 19:00:00|5197.78791384696
11/11/2024 20:00:00|4476.722671364472
11/11/2024 21:00:00|4080.567976266082
11/11/2024 22:00:00|5831.737969450789
