DateTime|Volume
11/10/2024 23:00:00|2798.437700774474
11/11/2024 00:00:00|2712.268886968132
11/11/2024 01:00:00|3178.056510257388
11/11/2024 02:00:00|2057.8057154511903
11/11/2024 03:00:00|3255.0475432511066
11/11/2024 04:00:00|2028.5662344675848
11/11/2024 05:00:00|1872.3669645492678
11/11/2024 06:00:00|3674.9770867122775
11/11/2024 07:00:00|3077.314913261572
11/11/2024 08:00:00|3217.900597344174
11/11/2024 09:00:00|2936.098147513463
11/11/2024 10:00:00|1650.962684835517
11/11/2024 11:00:00|2537.921638588496
11/11/2024 12:00:00|3556.040723081449
11/11/2024 13:00:00|2598.939171408749
11/11/2024 14:00:00|3451.7332176264963
11/11/2024 15:00:00|3433.5540377789985
11/11/2024 16:00:00|2778.149364137802
11/11/2024 17:00:00|1866.346845439046
11/11/2024 18:00:00|3033.560729914899
11/11/2024 19:00:00|3569.212869410805
11/11/2024 20:00:00|3359.696546616706
11/11/2024 21:00:00|2131.9411549427878
11/11/2024 22:00:00|2230.769496789917
